horizon,output_type_id,value,target,age_group,scenario_id,origin_date,location,output_type,model_name
1.0,99.0,886.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,7.0,743.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,86.0,373.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,52.0,457.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,45.0,979.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,8.0,730.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,26.0,498.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,75.0,676.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,61.0,682.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,22.0,609.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,68.0,1160.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,66.0,683.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,85.0,926.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,9.0,643.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,3.0,570.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,90.0,792.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,46.0,465.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,95.0,867.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,50.0,945.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,49.0,1079.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,6.0,340.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,81.0,635.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,41.0,472.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,15.0,1038.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,29.0,307.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,33.0,621.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,100.0,626.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,1.0,579.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,89.0,471.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,81.0,924.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,41.0,1329.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,6.0,216.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,95.0,949.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,50.0,655.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,21.0,696.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,73.0,510.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,74.0,363.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,33.0,1102.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,100.0,744.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,48.0,293.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,5.0,598.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,29.0,300.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,46.0,814.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,3.0,302.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,39.0,477.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,57.0,588.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,56.0,287.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,64.0,590.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,14.0,999.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,71.0,498.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,24.0,768.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,15.0,1153.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,70.0,397.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,12.0,512.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,82.0,909.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,11.0,383.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,91.0,731.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,94.0,439.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,42.0,610.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,65.0,708.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,54.0,529.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,13.0,692.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,79.0,332.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,97.0,1030.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,68.0,279.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,75.0,596.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,61.0,808.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,26.0,478.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,18.0,461.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,8.0,718.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,52.0,201.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,45.0,534.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,7.0,504.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,86.0,382.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,31.0,833.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,67.0,923.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,87.0,365.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,35.0,968.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,20.0,777.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,19.0,364.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,60.0,681.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,27.0,533.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,72.0,744.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,55.0,342.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,63.0,666.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,17.0,631.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,98.0,549.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,23.0,793.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,77.0,1490.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,83.0,598.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,43.0,526.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,62.0,505.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,69.0,748.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,58.0,439.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,32.0,348.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,25.0,544.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,78.0,668.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,38.0,658.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,84.0,811.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,99.0,399.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,36.0,645.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,93.0,864.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,44.0,272.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,76.0,960.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,53.0,381.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,59.0,458.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,37.0,587.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,10.0,1022.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,92.0,882.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,28.0,984.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,49.0,347.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,80.0,658.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,96.0,515.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,40.0,657.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,88.0,189.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,51.0,718.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,2.0,633.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,90.0,694.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,85.0,261.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,9.0,571.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,66.0,967.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,30.0,587.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,22.0,865.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,16.0,353.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,34.0,678.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,4.0,716.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,47.0,466.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
2.0,1.0,583.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,60.0,1114.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,38.0,1101.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,54.0,552.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,31.0,573.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,74.0,820.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,4.0,549.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,34.0,607.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,21.0,1077.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,1.0,666.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,6.0,571.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,73.0,800.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,50.0,747.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,2.0,465.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,85.0,511.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,90.0,532.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,29.0,1257.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,70.0,265.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,30.0,780.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,61.0,466.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,22.0,370.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,89.0,685.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,80.0,546.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,96.0,930.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
3.0,5.0,855.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
